!<<<<<<< HEAD
! Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
!=======
! #Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
!>>>>>>> 8efd9dd429f521cc4ae756838755d8556a6a6f48
 26.0000000000  -5.8290135334e-09  3.0361350055e-20  8.5274026101e-04  8.3236632223e-04  
 26.5000000000  -6.4097632217e-09  -4.0657582761e-21  8.5274026101e-04  8.3236632229e-04  
 27.0000000000  -7.0358017831e-09  -1.6479241201e-26  8.5274026101e-04  8.3236632236e-04  
 27.5000000000  -7.7097137653e-09  -4.7429080357e-20  8.5274026101e-04  8.3236632243e-04  
 28.0000000000  -8.4341790288e-09  8.9446844669e-21  8.5274026101e-04  8.3236632251e-04  
 28.5000000000  -9.2119735319e-09  -3.0362441934e-20  8.5274026101e-04  8.3236632258e-04  
 29.0000000000  -1.0045971627e-08  3.0357677373e-20  8.5274026101e-04  8.3236632267e-04  
 29.5000000000  -1.0939147149e-08  -6.9668476455e-20  8.5274026101e-04  8.3236632275e-04  
 30.0000000000  -1.1894575118e-08  -3.8755975958e-20  8.5274026101e-04  8.3236632284e-04  
 30.5000000000  -1.2915433277e-08  -3.4152914372e-20  8.5274026101e-04  8.3236632293e-04  
 31.0000000000  -1.4005003377e-08  3.4969755228e-20  8.5274026101e-04  8.3236632303e-04  
 31.5000000000  -1.5166673271e-08  4.0694473729e-21  8.5274026101e-04  8.3236632314e-04  
 32.0000000000  -1.6403937759e-08  8.6736008363e-21  8.5274026101e-04  8.3236632325e-04  
 32.5000000000  -1.7720400074e-08  -3.5236570476e-20  8.5274026101e-04  8.3236632337e-04  
 33.0000000000  -1.9119773961e-08  1.0462656844e-19  8.5274026101e-04  8.3236632349e-04  
 33.5000000000  -2.0605884691e-08  -1.0918784083e-24  8.5274026101e-04  8.3236632363e-04  
 34.0000000000  -2.2182670635e-08  -4.2349062423e-24  8.5274026101e-04  8.3236632377e-04  
 34.5000000000  -2.3854184553e-08  -3.4149192060e-20  8.5274026101e-04  8.3236632393e-04  
 35.0000000000  -2.5624595149e-08  -5.4633625123e-22  8.5274026101e-04  8.3236632409e-04  
 35.5000000000  -2.7498188240e-08  -4.3377615891e-20  8.5274026101e-04  8.3236632427e-04  
 36.0000000000  -2.9479368706e-08  -3.4690234355e-20  8.5274026101e-04  8.3236632446e-04  
 36.5000000000  -3.1572661386e-08  2.6567188262e-20  8.5274026101e-04  8.3236632466e-04  
 37.0000000000  -3.3782712582e-08  2.5478751053e-20  8.5274026101e-04  8.3236632488e-04  
 37.5000000000  -3.6114291395e-08  5.4631957862e-22  8.5274026101e-04  8.3236632511e-04  
 38.0000000000  -3.8572290979e-08  -5.2584880830e-20  8.5274026101e-04  8.3236632536e-04  
 38.5000000000  -4.1161730320e-08  4.3905952950e-20  8.5274026101e-04  8.3236632564e-04  
 39.0000000000  -4.3887755113e-08  -3.5232335441e-20  8.5274026101e-04  8.3236632593e-04  
 39.5000000000  -4.6755638776e-08  7.0473158014e-20  8.5274026101e-04  8.3236632624e-04  
 40.0000000000  -4.9770784603e-08  -7.8604641090e-20  8.5274026101e-04  8.3236632658e-04  
 40.5000000000  -5.2938726614e-08  -3.4694486193e-20  8.5274026101e-04  8.3236632695e-04  
 41.0000000000  -5.6265130511e-08  -6.0714279282e-20  8.5274026101e-04  8.3236632734e-04  
 41.5000000000  -5.9755795434e-08  9.6493976808e-20  8.5274026101e-04  8.3236632777e-04  
 42.0000000000  -6.3416654818e-08  5.2774125608e-24  8.5274026101e-04  8.3236632822e-04  
 42.5000000000  -6.7253777717e-08  -3.4689192107e-20  8.5274026101e-04  8.3236632871e-04  
 43.0000000000  -7.1273370259e-08  4.2351652411e-24  8.5274026101e-04  8.3236632924e-04  
 43.5000000000  -7.5481776371e-08  9.2146763473e-21  8.5274026101e-04  8.3236632981e-04  
 44.0000000000  -7.9885479481e-08  -3.4694486063e-20  8.5274026101e-04  8.3236633041e-04  
 44.5000000000  -8.4491103241e-08  -3.4704015313e-20  8.5274026101e-04  8.3236633107e-04  
 45.0000000000  -8.9305412861e-08  -4.2022067589e-24  8.5274026101e-04  8.3236633177e-04  
 45.5000000000  -9.4335316231e-08  -2.5482985960e-20  8.5274026101e-04  8.3236633253e-04  
 46.0000000000  -9.9587865183e-08  -6.0711069822e-20  8.5274026101e-04  8.3236633334e-04  
 46.5000000000  -1.0507025620e-07  5.4105883766e-22  8.5274026101e-04  8.3236633420e-04  
 47.0000000000  -1.1078983185e-07  -5.4208454263e-22  8.5274026101e-04  8.3236633514e-04  
 47.5000000000  -1.1675408171e-07  -6.1256363954e-20  8.5274026101e-04  8.3236633613e-04  
 48.0000000000  -1.2297064337e-07  -1.3878634841e-19  8.5274026101e-04  8.3236633720e-04  
 48.5000000000  -1.2944730380e-07  1.7355738176e-20  8.5274026101e-04  8.3236633835e-04  
 49.0000000000  -1.3619199984e-07  -8.6831466298e-21  8.5274026101e-04  8.3236633957e-04  
 49.5000000000  -1.4321281960e-07  -1.2902111745e-19  8.5274026101e-04  8.3236634088e-04  
 50.0000000000  -1.5051800336e-07  -5.5163020690e-22  8.5274026101e-04  8.3236634227e-04  
 50.5000000000  -1.5811594435e-07  -3.5227041485e-20  8.5274026101e-04  8.3236634377e-04  
 51.0000000000  -1.6601519005e-07  -3.3216471411e-26  8.5274026101e-04  8.3236634536e-04  
 51.5000000000  -1.7422444279e-07  6.0174279494e-20  8.5274026101e-04  8.3236634706e-04  
 52.0000000000  -1.8275256104e-07  1.2957062994e-19  8.5274026101e-04  8.3236634887e-04  
 52.5000000000  -1.9160855978e-07  -2.6028263419e-20  8.5274026101e-04  8.3236635081e-04  
 53.0000000000  -2.0080161191e-07  7.7510925954e-20  8.5274026101e-04  8.3236635287e-04  
 53.5000000000  -2.1034104885e-07  5.4315987743e-22  8.5274026101e-04  8.3236635506e-04  
 54.0000000000  -2.2023636141e-07  2.6561927522e-20  8.5274026101e-04  8.3236635739e-04  
 54.5000000000  -2.3049720075e-07  1.3823683553e-19  8.5274026101e-04  8.3236635987e-04  
 55.0000000000  -2.4113337914e-07  -6.9388939039e-20  8.5274026101e-04  8.3236636251e-04  
 55.5000000000  -2.5215487058e-07  -2.6546012826e-20  8.5274026101e-04  8.3236636531e-04  
 56.0000000000  -2.6357181167e-07  8.6831798463e-21  8.5274026101e-04  8.3236636828e-04  
 56.5000000000  -2.7539450283e-07  -8.6736171214e-21  8.5274026101e-04  8.3236637144e-04  
 57.0000000000  -2.8763340820e-07  7.0471056716e-20  8.5274026101e-04  8.3236637479e-04  
 57.5000000000  -3.0029915696e-07  7.8598304758e-20  8.5274026101e-04  8.3236637834e-04  
 58.0000000000  -3.1340254402e-07  1.4690830249e-19  8.5274026101e-04  8.3236638210e-04  
 58.5000000000  -3.2695453046e-07  1.0918789134e-24  8.5274026101e-04  8.3236638608e-04  
 59.0000000000  -3.4096624455e-07  6.8855341628e-20  8.5274026101e-04  8.3236639030e-04  
 59.5000000000  -3.5544898180e-07  -5.4104229455e-22  8.5274026101e-04  8.3236639477e-04  
 60.0000000000  -3.7041420619e-07  -6.0180599283e-20  8.5274026101e-04  8.3236639949e-04  
 60.5000000000  -3.8587355080e-07  -5.4319296415e-22  8.5274026101e-04  8.3236640448e-04  
