 Time (a.u.) 	 Real(mu)  	 Im(mu) 	  E(t=0) (a.u.)  	 E(t) (a.u.)
 43.2000000000  -4.4010085952e-04  -7.1151627009e-19  6.0221140552e-03  6.0113246608e-03  
 44.0000000000  -4.8165120402e-04  4.2297226329e-19  6.0221140552e-03  6.0116812515e-03  
 44.8000000000  -5.2623886458e-04  -2.1884392791e-19  6.0221140552e-03  6.0120842432e-03  
 45.6000000000  -5.7402186469e-04  3.0119330241e-19  6.0221140552e-03  6.0125385997e-03  
 46.4000000000  -6.2516302511e-04  4.7568942212e-19  6.0221140552e-03  6.0130497000e-03  
 47.2000000000  -6.7982998485e-04  2.0028943973e-19  6.0221140552e-03  6.0136233635e-03  
 48.0000000000  -7.3819521907e-04  -2.2253249579e-19  6.0221140552e-03  6.0142658748e-03  
 48.8000000000  -8.0043605390e-04  4.4774522240e-19  6.0221140552e-03  6.0149840107e-03  
 49.6000000000  -8.6673467814e-04  -9.3130835375e-19  6.0221140552e-03  6.0157850663e-03  
 50.4000000000  -9.3727815189e-04  -4.2515714647e-20  6.0221140552e-03  6.0166768829e-03  
 51.2000000000  -1.0122584120e-03  3.4761279192e-19  6.0221140552e-03  6.0176678764e-03  
 52.0000000000  -1.0918722741e-03  1.7645256354e-19  6.0221140552e-03  6.0187670660e-03  
 52.8000000000  -1.1763214322e-03  -1.0272842095e-19  6.0221140552e-03  6.0199841039e-03  
 53.6000000000  -1.2658124540e-03  1.7045726274e-18  6.0221140552e-03  6.0213293055e-03  
 54.4000000000  -1.3605567740e-03  1.9820702074e-19  6.0221140552e-03  6.0228136799e-03  
 55.2000000000  -1.4607706826e-03  -1.4178596835e-18  6.0221140552e-03  6.0244489613e-03  
 56.0000000000  -1.5666753127e-03  6.3442322728e-19  6.0221140552e-03  6.0262476410e-03  
 56.8000000000  -1.6784966221e-03  -3.8217994603e-20  6.0221140552e-03  6.0282229991e-03  
 57.6000000000  -1.7964653739e-03  4.8423255615e-19  6.0221140552e-03  6.0303891374e-03  
 58.4000000000  -1.9208171124e-03  5.6635207277e-20  6.0221140552e-03  6.0327610126e-03  
 59.2000000000  -2.0517921364e-03  -1.8520443754e-18  6.0221140552e-03  6.0353544690e-03  
 60.0000000000  -2.1896354693e-03  6.1003247841e-20  6.0221140552e-03  6.0381862727e-03  
 60.8000000000  -2.3345968254e-03  1.7425007725e-19  6.0221140552e-03  6.0412741450e-03  
 61.6000000000  -2.4869305735e-03  1.1414002555e-18  6.0221140552e-03  6.0446367965e-03  
 62.4000000000  -2.6468956967e-03  3.2966785349e-19  6.0221140552e-03  6.0482939614e-03  
 63.2000000000  -2.8147557494e-03  2.5213738127e-18  6.0221140552e-03  6.0522664311e-03  
 64.0000000000  -2.9907788107e-03  -3.7448604167e-18  6.0221140552e-03  6.0565760887e-03  
 64.8000000000  -3.1752374346e-03  5.2021029677e-19  6.0221140552e-03  6.0612459430e-03  
 65.6000000000  -3.3684085970e-03  -7.0261386852e-21  6.0221140552e-03  6.0663001625e-03  
 66.4000000000  -3.5705736390e-03  8.4770395565e-19  6.0221140552e-03  6.0717641090e-03  
 67.2000000000  -3.7820182081e-03  3.3260024170e-19  6.0221140552e-03  6.0776643710e-03  
 68.0000000000  -4.0030321946e-03  1.3777159007e-18  6.0221140552e-03  6.0840287971e-03  
 68.8000000000  -4.2339096659e-03  2.7825167349e-19  6.0221140552e-03  6.0908865283e-03  
 69.6000000000  -4.4749487969e-03  5.1206967796e-21  6.0221140552e-03  6.0982680310e-03  
 70.4000000000  -4.7264517981e-03  -3.9516616504e-19  6.0221140552e-03  6.1062051280e-03  
 71.2000000000  -4.9887248392e-03  -1.8971556067e-19  6.0221140552e-03  6.1147310298e-03  
 72.0000000000  -5.2620779703e-03  -2.6559989031e-19  6.0221140552e-03  6.1238803655e-03  
 72.8000000000  -5.5468250402e-03  1.2924187523e-18  6.0221140552e-03  6.1336892116e-03  
 73.6000000000  -5.8432836107e-03  3.8029014922e-19  6.0221140552e-03  6.1441951217e-03  
 74.4000000000  -6.1517748686e-03  -9.3662123157e-19  6.0221140552e-03  6.1554371536e-03  
 75.2000000000  -6.4726235340e-03  -6.6848249681e-19  6.0221140552e-03  6.1674558969e-03  
 76.0000000000  -6.8061577657e-03  1.6734269187e-18  6.0221140552e-03  6.1802934983e-03  
 76.8000000000  -7.1527090637e-03  1.5863472091e-19  6.0221140552e-03  6.1939936863e-03  
 77.6000000000  -7.5126121683e-03  -7.1513297259e-19  6.0221140552e-03  6.2086017952e-03  
 78.4000000000  -7.8862049567e-03  -2.2188887003e-18  6.0221140552e-03  6.2241647863e-03  
 79.2000000000  -8.2738283361e-03  -1.0669069712e-18  6.0221140552e-03  6.2407312696e-03  
 80.0000000000  -8.6758261342e-03  2.0294655305e-18  6.0221140552e-03  6.2583515223e-03  
 80.8000000000  -9.0925449864e-03  -3.3814397949e-20  6.0221140552e-03  6.2770775069e-03  
 81.6000000000  -9.5243342207e-03  3.2855977906e-19  6.0221140552e-03  6.2969628874e-03  
 82.4000000000  -9.9715457390e-03  1.6221105460e-18  6.0221140552e-03  6.3180630433e-03  
 83.2000000000  -1.0434533896e-02  -1.3388700416e-18  6.0221140552e-03  6.3404350827e-03  
 84.0000000000  -1.0913655377e-02  9.4813372347e-19  6.0221140552e-03  6.3641378527e-03  
 84.8000000000  -1.1409269067e-02  -5.7598244653e-19  6.0221140552e-03  6.3892319487e-03  
 85.6000000000  -1.1921735927e-02  -6.9958750573e-19  6.0221140552e-03  6.4157797207e-03  
 86.4000000000  -1.2451418857e-02  4.1544206125e-19  6.0221140552e-03  6.4438452789e-03  
 87.2000000000  -1.2998682564e-02  1.1449915266e-18  6.0221140552e-03  6.4734944955e-03  
 88.0000000000  -1.3563893426e-02  5.4057702121e-19  6.0221140552e-03  6.5047950059e-03  
 88.8000000000  -1.4147419347e-02  6.0688057811e-19  6.0221140552e-03  6.5378162067e-03  
 89.6000000000  -1.4749629623e-02  -1.7042434550e-19  6.0221140552e-03  6.5726292516e-03  
 90.4000000000  -1.5370894789e-02  1.5595893879e-18  6.0221140552e-03  6.6093070448e-03  
 91.2000000000  -1.6011586478e-02  2.3972355332e-21  6.0221140552e-03  6.6479242325e-03  
 92.0000000000  -1.6672077270e-02  2.4680410167e-19  6.0221140552e-03  6.6885571910e-03  
 92.8000000000  -1.7352740539e-02  4.7839146043e-19  6.0221140552e-03  6.7312840132e-03  
 93.6000000000  -1.8053950303e-02  5.3854794000e-19  6.0221140552e-03  6.7761844918e-03  
 94.4000000000  -1.8776081063e-02  8.9137525440e-19  6.0221140552e-03  6.8233401001e-03  
 95.2000000000  -1.9519507650e-02  1.1148324069e-18  6.0221140552e-03  6.8728339704e-03  
 96.0000000000  -2.0284605062e-02  1.2951927857e-19  6.0221140552e-03  6.9247508690e-03  
 96.8000000000  -2.1071748306e-02  9.8651846167e-19  6.0221140552e-03  6.9791771693e-03  
 97.6000000000  -2.1881312230e-02  -5.9938708756e-19  6.0221140552e-03  7.0362008213e-03  
 98.4000000000  -2.2713671360e-02  -3.0628499707e-19  6.0221140552e-03  7.0959113189e-03  
 99.2000000000  -2.3569199733e-02  -1.3718418278e-18  6.0221140552e-03  7.1583996640e-03  
 100.0000000000  -2.4448270727e-02  9.2236595340e-19  6.0221140552e-03  7.2237583277e-03  
 100.8000000000  -2.5351256893e-02  -1.4737843887e-20  6.0221140552e-03  7.2920812089e-03  
 101.6000000000  -2.6278529780e-02  -2.4749560257e-18  6.0221140552e-03  7.3634635899e-03  
 102.4000000000  -2.7230459768e-02  -1.4734510297e-19  6.0221140552e-03  7.4380020888e-03  
 103.2000000000  -2.8207415885e-02  3.7231809640e-19  6.0221140552e-03  7.5157946098e-03  
 104.0000000000  -2.9209765638e-02  1.6832660766e-18  6.0221140552e-03  7.5969402891e-03  
 104.8000000000  -3.0237874834e-02  -2.5745758341e-19  6.0221140552e-03  7.6815394400e-03  
 105.6000000000  -3.1292107404e-02  1.4526664389e-19  6.0221140552e-03  7.7696934931e-03  
 106.4000000000  -3.2372825220e-02  4.7978593109e-19  6.0221140552e-03  7.8615049346e-03  
 107.2000000000  -3.3480387921e-02  7.8122097378e-20  6.0221140552e-03  7.9570772422e-03  
 108.0000000000  -3.4615152729e-02  -1.2829848427e-18  6.0221140552e-03  8.0565148170e-03  
 108.8000000000  -3.5777474269e-02  3.4765807706e-20  6.0221140552e-03  8.1599229135e-03  
 109.6000000000  -3.6967704388e-02  6.7708419053e-19  6.0221140552e-03  8.2674075664e-03  
 110.4000000000  -3.8186191973e-02  3.3061790604e-19  6.0221140552e-03  8.3790755151e-03  
 111.2000000000  -3.9433282770e-02  4.5711375153e-19  6.0221140552e-03  8.4950341251e-03  
 112.0000000000  -4.0709319199e-02  6.7119711097e-19  6.0221140552e-03  8.6153913069e-03  
 112.8000000000  -4.2014640171e-02  1.1069618878e-18  6.0221140552e-03  8.7402554323e-03  
 113.6000000000  -4.3349580912e-02  -7.2824697458e-19  6.0221140552e-03  8.8697352487e-03  
 114.4000000000  -4.4714472771e-02  9.3231129261e-20  6.0221140552e-03  9.0039397898e-03  
 115.2000000000  -4.6109643045e-02  -3.5993831296e-19  6.0221140552e-03  9.1429782854e-03  
 116.0000000000  -4.7535414795e-02  1.5833925717e-18  6.0221140552e-03  9.2869600677e-03  
 116.8000000000  -4.8992106663e-02  2.2883334166e-19  6.0221140552e-03  9.4359944760e-03  
 117.6000000000  -5.0480032692e-02  3.9895079710e-19  6.0221140552e-03  9.5901907589e-03  
 118.4000000000  -5.1999502149e-02  -2.2507362783e-19  6.0221140552e-03  9.7496579749e-03  
 119.2000000000  -5.3550819340e-02  -1.3230704320e-19  6.0221140552e-03  9.9145048910e-03  
 120.0000000000  -5.5134283435e-02  -2.1074827694e-19  6.0221140552e-03  1.0084839879e-02  
 120.8000000000  -5.6750188291e-02  -3.2742763347e-19  6.0221140552e-03  1.0260770809e-02  
 121.6000000000  -5.8398822273e-02  -6.2477627316e-19  6.0221140552e-03  1.0442404948e-02  
